fecha,value
2023-04-05 15:53:20,4571.254
2023-04-05 15:53:39,4571.2471
2023-04-05 15:54:12,4571.2436
2023-04-05 15:54:24,4571.2397
2023-04-05 15:54:25,4571.2288
2023-04-05 15:54:43,4571.2266
2023-04-05 15:55:31,4571.2249
2023-04-05 15:55:40,4571.2234
2023-04-05 15:55:41,4571.2221
2023-04-05 15:55:49,4571.2209
2023-04-05 15:55:56,4571.219
2023-04-05 15:55:58,4571.2167
2023-04-05 15:56:03,4571.2146
2023-04-05 15:56:12,4571.2124
2023-04-05 15:56:20,4571.1906
2023-04-05 15:56:27,4571.174
2023-04-05 15:56:50,4571.1718
2023-04-05 15:57:08,4571.1696
2023-04-05 15:57:10,4571.167
2023-04-05 15:57:12,4571.1379
2023-04-05 15:57:27,4571.1352
2023-04-05 15:57:33,4571.1324
2023-04-05 15:58:10,4571.1298
2023-04-05 15:58:16,4571.1247
2023-04-05 15:59:10,4571.1217
2023-04-05 16:00:03,4571.1189
2023-04-05 16:00:19,4571.1161
2023-04-05 16:00:20,4571.1133
2023-04-05 16:00:21,4571.1102
2023-04-05 16:00:22,4571.1072
2023-04-05 16:00:24,4571.1041
2023-04-05 16:00:25,4571.0947
2023-04-05 16:00:26,4571.0914
2023-04-05 16:00:32,4571.0888
2023-04-05 16:00:43,4571.0858
2023-04-05 16:00:45,4571.0832
2023-04-05 16:00:46,4571.0806
2023-04-05 16:00:47,4571.0781
2023-04-05 16:00:48,4571.0755
2023-04-05 16:00:53,4571.0722
2023-04-05 16:00:59,4571.0696
2023-04-05 16:01:00,4571.067
2023-04-05 16:01:01,4571.0567
2023-04-05 16:01:02,4571.047
2023-04-05 16:01:46,4571.0443
2023-04-05 16:02:04,4571.0423
2023-04-05 16:02:07,4571.0402
2023-04-05 16:02:28,4571.0386
2023-04-05 16:02:29,4571.0371
2023-04-05 16:02:30,4571.0346
2023-04-05 16:02:31,4571.0336
2023-04-05 16:02:47,4571.0326
2023-04-05 16:02:48,4571.0316
2023-04-05 16:02:49,4571.0297
2023-04-05 16:02:50,4571.029
2023-04-05 16:02:54,4571.0282
2023-04-05 16:03:08,4571.0272
2023-04-05 16:06:57,4571.026
2023-04-05 16:06:58,4571.0248
2023-04-05 16:06:59,4571.0237
2023-04-05 16:07:01,4571.0204
2023-04-05 16:07:29,4571.0164
2023-04-05 16:07:31,4571.0139
2023-04-05 16:07:32,4571.0144
2023-04-05 16:07:33,4571.0201
2023-04-05 16:11:29,4571.02
2023-04-05 16:13:16,4571.0226
2023-04-05 16:13:18,4571.0328
2023-04-05 16:13:19,4571.041
2023-04-05 16:13:20,4571.0439
2023-04-05 16:13:38,4571.0473
2023-04-05 16:16:47,4571.0536
2023-04-05 16:18:21,4571.0602
2023-04-05 16:21:13,4571.0635
2023-04-05 16:21:21,4571.0676
2023-04-05 16:21:25,4571.0696
2023-04-05 16:21:32,4571.0715
2023-04-05 16:24:41,4571.0801
2023-04-05 16:24:42,4571.0972
2023-04-05 16:24:56,4571.1057
2023-04-05 16:25:01,4571.1079
2023-04-05 16:25:04,4571.11
2023-04-05 16:25:06,4571.1185
2023-04-05 16:28:49,4571.1247
2023-04-05 16:28:50,4571.131
